English,Lunda,Grammar_Notes,Noun_Class,Verb_Extensions,Agreement_Pattern
Welcome,Shikenu mwani,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Welcome,Menekenu mwani,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I am greeting you,Tunemushi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Good morning,Ntetamena,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Good evening,Melela,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Are you well?,Mwakola?,Question,Class 1 (mu-),,Subject agreement wu-
I am well,Nidi chachiwahi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
And you,Ndeyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Not so well,Chanti chanti,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I don’t know,Etu kwiluka nehi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Thank you,Nasakalili,Basic phrase,Class 1 (mu-),,Subject agreement wu-
You're welcome,Chachiwahi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I’m sorry,Ŋanakeni,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Yes,Eŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
No,Nehi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
My name is,Ami yami,1st person possessive,Class 1 (mu-),,Possessive agreement wa-
What is your name?,Ijina deyi yeyinyi?,Question,Class 1 (mu-),,Subject agreement wu-
Where are you from?,Wunafumi kudihi?,Question,Class 1 (mu-),,Subject agreement wu-
Where?,Kudihi?,Question,Class 1 (mu-),,Subject agreement wu-
Far away,Kwakulehi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What is the name of your village?,Ijina da mukala weyi?,Question,Class 1 (mu-),,Subject agreement wu-
Village,Mukala,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I am from,Na fuma k,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Good for nothing,Kubula kulumbuluka,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What is your job?,Wakalakalaŋa mudimuinyi?,Question,Class 1 (mu-),,Subject agreement wu-
I work,Na kalakalaŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
At the hospital?,Mu chipatelu?,Question,Class 1 (mu-),,Subject agreement wu-
I am a surgeon,Naladikaŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I am a doctor,Ami nidi ndotolu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I am a midwife,Ami nakwashaŋa akwa kuvwala mavumu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I am a nurse,Ami ni sister,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Greeting to people working,Mukalakalaŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I am trying to learn to speak Lunda,Ami nakufwila ku diza kuhosha Lunda,Basic phrase,Class 1 (mu-),,Subject agreement wu-
It is difficult,Chakala,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What is this?,Ichi chika?,Question,Class 1 (mu-),,Subject agreement wu-
What is this?,Hi chumanyi?,Question,Class 1 (mu-),,Subject agreement wu-
What are you doing?,Wudi nakwiladi?,Question,Class 1 (mu-),,Subject agreement wu-
Can I help you?,Nikukwashi tahindi?,Question,Class 1 (mu-),,Subject agreement wu-
Are you sick?,Wakata tahindi?,Question,Class 1 (mu-),,Subject agreement wu-
How many children do you have?,Wudi nawanyana aŋahi?,Question,Class 1 (mu-),,Subject agreement wu-
Is it clear?,Chinalumbuluki?,Question,Class 1 (mu-),,Subject agreement wu-
Is it understood?,Munachitiyi?,Question,Class 1 (mu-),,Subject agreement wu-
I will get a translation,Ami nayi nikeni wakunkwasha kulumbulula,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Give me,Anyinki,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Help me with,Ankwashuku na,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Really?,Komana?,Question,Class 1 (mu-),,Subject agreement wu-
Maybe,Kwiji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I do not understand,Hinachitiyuku,Imperative,Class 1 (mu-),,Subject agreement wu- (imperative)
Please say it again,Hoshenu cheŋi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Speak slowly,Hoshaku chovu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Do you understand?,Wunachitiyi?,Question,Class 1 (mu-),,Subject agreement wu-
That is good,Chachiwahi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Expresses disapproval,Chinjila,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Don’t do that?,Chinjila kwilochu?,Question,Class 1 (mu-),,Subject agreement wu-
